                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.4908,                 1.2405,                0.84276,                 2.4906,                  1.244,                0.83825,                0.79034,                0.28189,                0.32303,                0.12215,                 1.9296,                0.98064,                0.84024,                 1.9147,                0.99492,                0.83727,              0.0091288,              0.0091288,              0.0091288
                     25,                 2.4921,                 1.2623,                 0.8399,                 2.4953,                 1.2593,                0.83781,                0.70664,                0.24286,                0.28378,                0.11289,                  1.984,                 1.0415,                0.84203,                  1.998,                 1.0527,                0.83509,              0.0090892,              0.0090892,              0.0090892
                     26,                 2.4507,                 1.2403,                0.83323,                 2.4537,                 1.2508,                0.83032,                0.73061,                0.26337,                0.29981,                 0.1277,                 1.8598,                0.95493,                0.84228,                 1.8641,                0.96016,                0.83512,              0.0090496,              0.0090496,              0.0090496
                     27,                 2.4552,                 1.2408,                0.83302,                 2.4571,                 1.2398,                0.83359,                0.77592,                0.27787,                0.31216,                0.12652,                 1.9276,                0.97284,                0.84199,                 1.9001,                0.96785,                0.83437,                0.00901,                0.00901,                0.00901
                     28,                 2.4932,                  1.237,                0.84104,                 2.4778,                 1.2414,                0.83492,                0.74883,                0.26543,                0.30189,                0.12086,                 1.8296,                0.96484,                0.83742,                 1.8304,                0.98416,                0.83317,              0.0089704,              0.0089704,              0.0089704
                     29,                 2.4332,                 1.2333,                0.83864,                 2.4398,                 1.2357,                0.84262,                0.66512,                0.26155,                0.28645,                0.12168,                 1.8429,                 0.9983,                0.83874,                 1.8643,                 1.0196,                0.83302,              0.0089308,              0.0089308,              0.0089308
                     30,                 2.3992,                 1.2029,                0.83659,                 2.4017,                 1.2059,                0.83585,                0.68188,                 0.2572,                0.30046,                0.13038,                 1.7806,                0.92962,                0.83675,                 1.7664,                0.98245,                0.82705,              0.0088912,              0.0088912,              0.0088912
                     31,                 2.4337,                 1.2254,                0.83643,                 2.4226,                  1.227,                0.82948,                0.75113,                0.27366,                0.32232,                0.13498,                 1.8021,                0.93915,                0.83556,                 1.7833,                0.96253,                0.82944,              0.0088516,              0.0088516,              0.0088516
                     32,                 2.3911,                 1.1717,                0.82851,                 2.3838,                 1.1761,                  0.825,                0.69694,                0.28395,                0.31954,                0.13272,                  1.787,                 0.9755,                0.83462,                 1.7705,                0.98073,                0.82766,               0.008812,               0.008812,               0.008812
                     33,                 2.3942,                 1.1863,                0.83385,                 2.3976,                 1.1861,                0.83065,                0.73289,                0.26749,                0.30726,                0.12794,                 1.7619,                0.93981,                0.83513,                 1.7749,                0.96974,                0.82912,              0.0087724,              0.0087724,              0.0087724
