                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 4.8622,                  1.293,                0.81242,                 4.8241,                    1.3,                0.80434,                0.56745,                 0.3107,                0.30202,                 0.1145,                 4.2973,                 1.1164,                0.79391,                 4.4506,                 1.1519,                0.79329,              0.0009812,              0.0009812,              0.0009812
                     25,                 4.8071,                 1.3209,                0.80874,                 4.7807,                 1.3335,                 0.8018,                0.61382,                0.32378,                0.31553,                0.11498,                 4.4011,                 1.1143,                0.78903,                  4.463,                  1.186,                 0.7857,             0.00097947,             0.00097947,             0.00097947
                     26,                 4.7641,                 1.2821,                0.80959,                 4.7322,                 1.2996,                0.80108,                 0.6325,                0.31163,                0.31494,                0.11551,                  4.455,                 1.0704,                0.79373,                 4.5101,                 1.1115,                0.79178,             0.00097766,             0.00097766,             0.00097766
                     27,                 4.7254,                 1.2872,                0.80053,                 4.6915,                 1.2981,                0.79608,                0.64322,                0.32305,                0.32579,                0.12756,                 4.2519,                  1.036,                0.79114,                 4.3056,                 1.0405,                0.78936,             0.00097577,             0.00097577,             0.00097577
                     28,                 4.7873,                 1.2778,                0.80459,                 4.7383,                 1.2845,                0.79543,                0.67968,                0.30658,                 0.3161,                0.12513,                 4.2302,                 1.0506,                0.78955,                  4.238,                 1.0331,                0.78752,             0.00097381,             0.00097381,             0.00097381
                     29,                 4.7598,                 1.2765,                0.81115,                 4.7277,                   1.28,                0.80227,                0.68524,                0.35391,                0.34492,                0.13684,                 3.9664,                 0.9934,                0.79161,                 3.9099,                0.98925,                0.78606,             0.00097178,             0.00097178,             0.00097178
                     30,                 4.6679,                 1.2558,                0.80903,                 4.6314,                 1.2554,                0.79827,                0.69011,                0.32099,                0.33074,                0.13373,                  4.102,                 0.9931,                0.78967,                 4.1518,                0.98328,                0.78561,             0.00096967,             0.00096967,             0.00096967
                     31,                 4.7216,                 1.2459,                0.80311,                 4.6713,                 1.2497,                0.79426,                0.67109,                0.32326,                 0.3457,                0.12948,                 4.1327,                0.99185,                0.78717,                 4.1918,                 1.0141,                0.78481,             0.00096749,             0.00096749,             0.00096749
                     32,                 4.5895,                 1.2016,                0.79754,                 4.5667,                 1.2084,                0.79272,                0.66924,                0.32922,                0.34783,                0.13396,                 4.0614,                 1.0262,                0.78336,                  4.143,                 1.0221,                0.78083,             0.00096524,             0.00096524,             0.00096524
                     33,                  4.567,                 1.2176,                0.79967,                 4.5451,                 1.2286,                0.79342,                0.68615,                0.34187,                0.35399,                0.14992,                  3.924,                 1.0367,                0.78244,                 3.9159,                 1.0361,                 0.7793,             0.00096291,             0.00096291,             0.00096291
                     34,                 4.5038,                 1.1973,                0.80094,                 4.4831,                 1.2023,                0.79478,                0.71421,                0.34979,                 0.3631,                0.14631,                 3.9484,                 1.0169,                0.78376,                 3.9523,                0.99785,                0.78078,             0.00096051,             0.00096051,             0.00096051
                     35,                 4.5179,                 1.1787,                0.79509,                 4.4932,                 1.1825,                0.79029,                0.69182,                0.33333,                0.35456,                0.14511,                 3.8924,                0.99042,                0.78261,                  3.922,                0.99342,                0.77933,             0.00095804,             0.00095804,             0.00095804
                     36,                 4.5035,                 1.1889,                0.80508,                 4.4764,                 1.1955,                0.79725,                0.68994,                0.32966,                0.35517,                0.14504,                 3.8661,                 1.0057,                0.78238,                 3.8953,                 1.0139,                0.78025,              0.0009555,              0.0009555,              0.0009555
                     37,                  4.445,                 1.1651,                0.79641,                  4.431,                 1.1807,                0.79119,                0.68468,                0.33539,                0.33913,                0.14533,                 3.7419,                 0.9931,                0.78108,                 3.8018,                0.97224,                0.77943,             0.00095289,             0.00095289,             0.00095289
                     38,                 4.4642,                 1.1747,                0.79619,                 4.4422,                  1.187,                0.78883,                0.69139,                0.33333,                0.35533,                0.15335,                 3.6501,                0.98418,                0.77875,                 3.6866,                0.97287,                0.77929,             0.00095021,             0.00095021,             0.00095021
                     39,                 4.4332,                  1.165,                0.79373,                 4.4254,                 1.1774,                0.78858,                0.70514,                0.34156,                0.36147,                0.15654,                 3.7097,                0.97511,                0.78064,                 3.7215,                0.98681,                0.77862,             0.00094745,             0.00094745,             0.00094745
                     40,                 4.4257,                 1.1313,                0.79986,                 4.4024,                 1.1455,                0.79154,                0.72201,                0.34979,                0.36977,                0.15436,                 3.7111,                0.94341,                0.78044,                 3.7116,                0.97591,                0.77834,             0.00094463,             0.00094463,             0.00094463
                     41,                 4.3801,                 1.1511,                0.80269,                 4.3538,                 1.1576,                 0.7943,                0.70179,                0.35391,                0.36757,                0.15814,                 3.7011,                0.96188,                0.77973,                 3.6974,                0.97403,                0.77779,             0.00094173,             0.00094173,             0.00094173
                     42,                 4.3452,                 1.1283,                 0.7953,                 4.3244,                 1.1306,                0.79026,                0.69799,                0.35802,                0.36705,                0.15844,                 3.6326,                0.95831,                0.77925,                  3.704,                0.95642,                0.77885,             0.00093877,             0.00093877,             0.00093877
                     43,                 4.3211,                 1.1243,                0.79647,                 4.3137,                 1.1325,                0.78956,                0.68317,                0.35597,                0.36394,                0.15704,                 3.6188,                0.94284,                0.77911,                 3.7009,                0.94048,                0.77849,             0.00093574,             0.00093574,             0.00093574
                     44,                 4.3068,                  1.108,                0.79519,                 4.3045,                 1.1181,                0.79071,                0.68211,                0.34979,                0.36151,                  0.159,                 3.5639,                0.96697,                0.77895,                 3.6448,                0.96617,                0.77656,             0.00093264,             0.00093264,             0.00093264
                     45,                 4.2398,                 1.0968,                0.78743,                 4.2292,                 1.1028,                0.78229,                0.67483,                0.35442,                0.35882,                0.15858,                 3.5269,                0.97062,                0.77887,                 3.5619,                0.97663,                0.77532,             0.00092948,             0.00092948,             0.00092948
                     46,                 4.2645,                 1.0972,                0.79542,                 4.2515,                 1.1165,                0.78855,                0.67287,                0.36008,                0.35902,                0.16165,                 3.5085,                0.97412,                0.77716,                 3.5326,                0.97972,                0.77426,             0.00092624,             0.00092624,             0.00092624
                     47,                 4.2644,                 1.0724,                0.78917,                   4.25,                 1.0857,                0.78631,                0.69218,                0.35802,                0.36257,                0.16314,                 3.5032,                0.97234,                0.77682,                 3.5221,                0.96881,                0.77403,             0.00092294,             0.00092294,             0.00092294
                     48,                 4.2112,                 1.0817,                0.79213,                 4.2009,                 1.0884,                0.78667,                0.67599,                 0.3563,                0.36249,                 0.1613,                 3.5456,                0.98019,                0.77702,                 3.5683,                0.98004,                0.77395,             0.00091958,             0.00091958,             0.00091958
                     49,                 4.2184,                 1.0726,                0.79132,                 4.1911,                 1.0806,                0.78552,                0.68459,                0.36214,                0.36494,                0.16357,                 3.5061,                0.97168,                 0.7755,                 3.5512,                0.97526,                0.77343,             0.00091614,             0.00091614,             0.00091614
                     50,                 4.2276,                 1.0797,                0.78989,                 4.1939,                   1.09,                0.78257,                 0.7039,                 0.3642,                0.36709,                0.16271,                 3.4854,                0.96719,                0.77493,                 3.5398,                0.96835,                0.77324,             0.00091265,             0.00091265,             0.00091265
                     51,                 4.1894,                 1.0646,                0.79299,                 4.1758,                 1.0769,                0.78842,                0.69508,                0.36626,                0.36635,                0.16326,                 3.4785,                0.95836,                0.77445,                 3.5346,                0.96152,                0.77349,             0.00090909,             0.00090909,             0.00090909
                     52,                 4.2056,                 1.0797,                 0.7871,                 4.1975,                 1.0918,                0.78181,                0.68763,                0.37243,                0.36762,                0.16502,                  3.452,                0.94842,                0.77423,                 3.5035,                0.95511,                0.77339,             0.00090546,             0.00090546,             0.00090546
