                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.3423,                 1.1776,                0.80707,                 2.3277,                  1.182,                0.79906,                0.64131,                0.30658,                0.31469,                0.14152,                 2.0427,                0.97866,                0.78928,                 1.9799,                 1.0193,                0.78282,              0.0009812,              0.0009812,              0.0009812
                     25,                 2.3525,                 1.2046,                0.80474,                  2.341,                 1.2171,                 0.7958,                0.67304,                0.32716,                 0.3301,                0.13613,                 1.9583,                 1.0024,                0.78155,                 1.9543,                 1.0001,                0.77672,             0.00097947,             0.00097947,             0.00097947
                     26,                 2.3186,                 1.1671,                0.80376,                 2.2957,                 1.1711,                0.79319,                0.68332,                0.31687,                0.33564,                0.13869,                 1.9976,                0.97525,                0.78221,                 2.0035,                0.97848,                0.77914,             0.00097766,             0.00097766,             0.00097766
                     27,                  2.301,                 1.1668,                0.79348,                 2.2903,                 1.1745,                 0.7901,                0.66134,                0.32146,                 0.3383,                0.14714,                 1.9461,                 0.9943,                0.78692,                  1.908,                0.97962,                0.77857,             0.00097577,             0.00097577,             0.00097577
                     28,                 2.3207,                 1.1644,                0.79623,                 2.3048,                 1.1736,                 0.7882,                 0.6576,                0.30864,                0.32737,                0.14671,                 1.9582,                 0.9963,                0.78728,                 1.8852,                0.96436,                0.77925,             0.00097381,             0.00097381,             0.00097381
                     29,                 2.3044,                 1.1773,                0.80337,                 2.2872,                 1.1879,                0.79491,                0.69427,                0.30453,                0.32736,                0.14384,                 1.8887,                0.98827,                0.78563,                 1.9034,                0.98719,                0.77719,             0.00097178,             0.00097178,             0.00097178
                     30,                 2.2721,                 1.1632,                0.80014,                 2.2605,                 1.1613,                0.79239,                0.67823,                0.30453,                0.33132,                0.14848,                 1.8686,                0.96702,                0.78695,                 1.8745,                0.97114,                0.77687,             0.00096967,             0.00096967,             0.00096967
                     31,                 2.2683,                 1.1599,                0.79563,                 2.2577,                 1.1683,                0.79033,                0.69973,                0.31276,                0.33262,                0.14681,                 1.8619,                 0.9468,                0.78085,                 1.8701,                0.95908,                0.77512,             0.00096749,             0.00096749,             0.00096749
                     32,                 2.2146,                 1.1139,                0.79114,                 2.2111,                 1.1221,                0.78697,                0.66844,                 0.3251,                  0.347,                0.15287,                 1.7964,                0.90165,                0.77944,                 1.8464,                0.91163,                0.77575,             0.00096524,             0.00096524,             0.00096524
                     33,                 2.2213,                  1.117,                0.79234,                 2.2176,                 1.1217,                 0.7864,                0.66869,                0.31687,                0.34353,                0.15867,                  1.808,                0.94173,                0.78004,                 1.8327,                0.94285,                 0.7746,             0.00096291,             0.00096291,             0.00096291
                     34,                  2.201,                 1.1056,                 0.7958,                    2.2,                 1.1153,                0.79032,                0.67808,                0.32939,                0.34445,                0.15666,                  1.818,                  0.919,                0.78246,                 1.8086,                0.94098,                0.77531,             0.00096051,             0.00096051,             0.00096051
                     35,                 2.2056,                 1.0919,                0.78815,                 2.2021,                 1.0996,                0.78617,                0.66571,                 0.3251,                0.34565,                0.16031,                  1.785,                0.91434,                0.78177,                 1.8034,                0.92388,                0.77483,             0.00095804,             0.00095804,             0.00095804
                     36,                 2.2031,                 1.0802,                0.79759,                 2.1966,                 1.0981,                0.78985,                0.65449,                0.31961,                0.34335,                0.15881,                  1.794,                 0.9169,                0.78115,                 1.8143,                0.91276,                0.77522,              0.0009555,              0.0009555,              0.0009555
                     37,                 2.1711,                 1.0858,                0.79065,                 2.1859,                 1.1152,                0.78624,                0.67149,                0.33226,                0.35675,                0.16159,                 1.7711,                0.91389,                0.77857,                 1.7982,                0.93188,                0.77351,             0.00095289,             0.00095289,             0.00095289
                     38,                 2.1788,                 1.1045,                0.79127,                 2.1836,                 1.1199,                 0.7852,                0.65194,                0.32922,                0.34829,                0.16286,                 1.7284,                 0.9139,                0.77683,                 1.7267,                0.93543,                0.77002,             0.00095021,             0.00095021,             0.00095021
                     39,                 2.1841,                 1.0711,                0.78851,                 2.1803,                 1.0891,                0.78395,                0.63436,                0.32922,                0.35022,                0.16314,                 1.7194,                0.90921,                0.77757,                 1.7039,                0.91927,                0.77175,             0.00094745,             0.00094745,             0.00094745
                     40,                 2.1323,                 1.0494,                0.79407,                 2.1437,                 1.0552,                0.78661,                0.63776,                0.32716,                0.34952,                0.16599,                 1.7156,                0.91711,                0.77809,                 1.7123,                0.92087,                0.77206,             0.00094463,             0.00094463,             0.00094463
