                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 4.8413,                 1.2667,                0.80532,                 4.8837,                 1.3262,                0.79476,                0.63377,                 0.3107,                0.32102,                0.13011,                 4.1449,                 1.0532,                0.80685,                 4.1542,                 1.0679,                  0.792,              0.0009812,              0.0009812,              0.0009812
                     25,                 4.7991,                 1.2915,                0.80102,                 4.8338,                  1.353,                0.78953,                0.65636,                0.30658,                0.31533,                 0.1256,                 4.0933,                 1.0559,                0.79853,                 4.1178,                 1.0786,                0.78972,             0.00097947,             0.00097947,             0.00097947
                     26,                 4.7197,                 1.2643,                0.79557,                 4.7701,                 1.3291,                0.78693,                0.63847,                0.32716,                0.33619,                0.13777,                 4.0132,                 1.0167,                0.79858,                 3.9919,                 1.0184,                0.78765,             0.00097766,             0.00097766,             0.00097766
                     27,                 4.6719,                 1.2594,                0.79631,                 4.7546,                 1.3246,                 0.7872,                0.62284,                 0.3107,                0.32769,                 0.1347,                 4.0233,                 1.0454,                0.80243,                 3.9758,                 1.0324,                0.78906,             0.00097577,             0.00097577,             0.00097577
                     28,                 4.7563,                 1.2595,                0.79662,                 4.7916,                 1.3123,                0.78565,                 0.6052,                0.28703,                0.30192,                0.13013,                 3.9355,                 1.0637,                0.79992,                 3.8911,                 1.0309,                0.78576,             0.00097381,             0.00097381,             0.00097381
                     29,                 4.6617,                 1.2625,                0.79817,                 4.7245,                 1.3166,                0.78683,                0.66133,                0.31893,                0.33591,                0.13802,                 3.8947,                 1.0331,                0.79312,                 3.9328,                 1.0431,                0.78178,             0.00097178,             0.00097178,             0.00097178
                     30,                 4.6845,                 1.2437,                 0.7973,                 4.7417,                 1.3061,                0.78617,                0.66767,                0.32716,                0.34257,                0.13979,                 3.9198,                0.99768,                0.79582,                 3.9548,                  1.007,                0.78837,             0.00096967,             0.00096967,             0.00096967
                     31,                 4.6644,                 1.2376,                0.79498,                 4.7029,                  1.303,                0.78399,                0.65558,                0.33333,                 0.3459,                0.14696,                 3.8792,                0.98581,                0.79168,                  3.904,                  1.004,                 0.7876,             0.00096749,             0.00096749,             0.00096749
                     32,                 4.5263,                 1.1983,                0.79114,                 4.5964,                 1.2582,                0.78236,                0.66424,                0.33379,                0.35205,                 0.1491,                 3.8042,                 0.9999,                0.79238,                 3.8868,                 1.0523,                 0.7843,             0.00096524,             0.00096524,             0.00096524
                     33,                 4.6074,                 1.2308,                 0.7962,                 4.6717,                 1.2937,                0.78144,                0.63534,                0.32981,                 0.3441,                0.15204,                 3.7249,                 1.0051,                0.79644,                 3.7342,                 1.0368,                0.78629,             0.00096291,             0.00096291,             0.00096291
                     34,                 4.4958,                 1.1863,                 0.7936,                 4.5515,                 1.2452,                0.78375,                0.66032,                 0.3251,                0.32955,                0.14328,                 3.8199,                 1.0025,                0.79619,                 3.7693,                 1.0278,                0.78435,             0.00096051,             0.00096051,             0.00096051
                     35,                 4.5148,                 1.1736,                  0.795,                 4.5977,                  1.241,                0.78461,                0.69178,                 0.3107,                0.32627,                0.14342,                 3.7995,                0.99326,                0.79442,                 3.7426,                  1.022,                0.78451,             0.00095804,             0.00095804,             0.00095804
                     36,                 4.4673,                 1.1799,                0.79568,                 4.5396,                 1.2391,                0.78678,                0.70728,                0.31893,                0.33945,                0.14717,                 3.7143,                 1.0286,                0.79437,                 3.7109,                 1.0257,                0.78495,              0.0009555,              0.0009555,              0.0009555
                     37,                 4.4462,                 1.1761,                0.79176,                 4.5343,                 1.2451,                0.78125,                0.70603,                0.32305,                0.34749,                0.15194,                 3.7553,                 1.0136,                0.79299,                 3.7542,                 1.0077,                0.78292,             0.00095289,             0.00095289,             0.00095289
                     38,                  4.464,                 1.1862,                0.79005,                 4.5408,                 1.2561,                0.77972,                0.69782,                0.31893,                0.34631,                0.15554,                 3.6342,                0.99448,                0.78783,                 3.7093,                0.99562,                0.77928,             0.00095021,             0.00095021,             0.00095021
                     39,                 4.4214,                 1.1482,                0.78653,                 4.4966,                 1.2111,                0.77687,                0.69361,                0.32606,                0.35048,                0.15541,                 3.6641,                0.96914,                0.78793,                 3.7711,                0.97442,                0.77982,             0.00094745,             0.00094745,             0.00094745
                     40,                 4.4015,                 1.1469,                 0.7898,                 4.4721,                 1.2112,                0.77918,                0.69957,                0.32716,                0.35025,                0.15903,                 3.6076,                0.95684,                0.78697,                 3.7275,                 0.9649,                0.77961,             0.00094463,             0.00094463,             0.00094463
                     41,                 4.3559,                 1.1473,                 0.7911,                 4.4477,                 1.2153,                0.78187,                0.68279,                0.31893,                0.34669,                0.15877,                 3.5439,                 0.9572,                0.78685,                 3.6635,                0.95642,                0.77955,             0.00094173,             0.00094173,             0.00094173
                     42,                 4.3347,                 1.1328,                 0.7909,                 4.4165,                 1.2044,                0.78019,                0.68637,                0.31971,                0.34458,                0.15797,                 3.5365,                0.94932,                0.78839,                 3.5931,                0.95444,                0.77939,             0.00093877,             0.00093877,             0.00093877
                     43,                 4.3383,                 1.1443,                0.78923,                 4.4117,                 1.2071,                0.77865,                0.69595,                0.31687,                0.33867,                0.15684,                 3.5406,                 0.9319,                0.78649,                 3.5933,                0.96008,                0.77737,             0.00093574,             0.00093574,             0.00093574
                     44,                 4.2911,                 1.1189,                0.78914,                 4.3816,                 1.1833,                0.77932,                0.69196,                0.32099,                0.34099,                0.15756,                 3.5254,                 0.9277,                0.78589,                 3.5706,                0.94873,                0.77855,             0.00093264,             0.00093264,             0.00093264
                     45,                  4.275,                  1.108,                0.78341,                 4.3619,                 1.1793,                0.77265,                0.68597,                0.31687,                 0.3443,                 0.1606,                 3.5562,                0.92826,                0.78632,                 3.5635,                0.94041,                0.77867,             0.00092948,             0.00092948,             0.00092948
                     46,                 4.2937,                 1.1054,                0.78645,                 4.3742,                 1.1787,                0.77575,                0.71158,                0.31687,                0.34147,                0.15907,                 3.5025,                0.92043,                0.78388,                 3.5678,                0.93655,                0.77895,             0.00092624,             0.00092624,             0.00092624
                     47,                 4.2907,                 1.0916,                0.78845,                 4.3754,                  1.173,                0.77795,                0.72411,                0.31323,                0.34286,                0.15756,                 3.4762,                0.92511,                0.78105,                 3.5585,                0.94435,                0.77782,             0.00092294,             0.00092294,             0.00092294
                     48,                  4.258,                  1.107,                0.78628,                 4.3287,                 1.1685,                0.77663,                0.73112,                0.32099,                0.34508,                0.15772,                   3.47,                0.92681,                0.78052,                 3.5533,                0.94412,                0.77617,             0.00091958,             0.00091958,             0.00091958
                     49,                 4.2671,                 1.0979,                0.78642,                 4.3369,                 1.1612,                0.77717,                0.72145,                0.31975,                0.34606,                0.15902,                 3.4527,                0.91671,                0.78058,                 3.5335,                0.93163,                0.77527,             0.00091614,             0.00091614,             0.00091614
                     50,                 4.2393,                 1.1128,                 0.7846,                 4.3298,                 1.1814,                0.77493,                0.70489,                0.32099,                0.34733,                 0.1585,                 3.4465,                 0.9236,                0.78044,                 3.5136,                0.93004,                0.77475,             0.00091265,             0.00091265,             0.00091265
                     51,                 4.1912,                 1.0741,                0.79066,                 4.3035,                 1.1514,                 0.7818,                0.69508,                0.31895,                0.34657,                 0.1575,                 3.4725,                0.92067,                 0.7815,                 3.5298,                 0.9291,                0.77479,             0.00090909,             0.00090909,             0.00090909
                     52,                 4.2487,                 1.0917,                0.78401,                 4.3342,                 1.1682,                0.77479,                0.69744,                0.31778,                0.34512,                0.15817,                 3.4714,                0.91616,                0.78206,                 3.5256,                0.92598,                0.77504,             0.00090546,             0.00090546,             0.00090546
                     53,                  4.198,                  1.062,                0.78304,                  4.285,                 1.1375,                0.77307,                0.70455,                0.32099,                0.35227,                0.15957,                 3.4623,                0.91102,                0.78193,                 3.5193,                0.91988,                0.77495,             0.00090178,             0.00090178,             0.00090178
                     54,                 4.1818,                 1.0789,                0.78558,                 4.2637,                 1.1312,                 0.7768,                0.69981,                0.31893,                  0.349,                  0.158,                 3.4369,                0.90645,                0.78128,                 3.5012,                0.91682,                0.77477,             0.00089803,             0.00089803,             0.00089803
                     55,                 4.1668,                 1.0746,                0.78511,                 4.2576,                 1.1478,                0.77569,                0.70697,                0.31771,                0.34819,                0.15946,                  3.425,                0.90277,                 0.7813,                 3.4813,                0.91376,                0.77447,             0.00089421,             0.00089421,             0.00089421
                     56,                 4.1061,                 1.0537,                0.78247,                 4.2074,                 1.1272,                0.77367,                0.70521,                0.32099,                0.35343,                0.16215,                  3.424,                0.89524,                0.78166,                 3.4709,                0.90669,                0.77441,             0.00089034,             0.00089034,             0.00089034
                     57,                 4.0951,                 1.0633,                0.77987,                 4.1881,                 1.1339,                0.77193,                0.70947,                0.32305,                0.35017,                 0.1629,                 3.4237,                0.88814,                 0.7822,                  3.469,                0.90211,                0.77454,              0.0008864,              0.0008864,              0.0008864
                     58,                 4.1107,                 1.0559,                0.78274,                 4.2001,                 1.1334,                0.77324,                0.70427,                0.32341,                0.35035,                0.16296,                  3.417,                0.88045,                0.78212,                 3.4633,                0.89922,                0.77417,             0.00088241,             0.00088241,             0.00088241
                     59,                 4.0611,                 1.0344,                0.78331,                  4.167,                 1.0994,                0.77483,                0.69223,                0.32395,                0.34931,                0.16305,                 3.4168,                0.87484,                0.78217,                 3.4642,                0.89639,                0.77399,             0.00087835,             0.00087835,             0.00087835
                     60,                 4.0665,                 1.0515,                0.78197,                 4.1694,                 1.1235,                0.77201,                 0.6917,                0.33333,                0.35055,                0.16323,                 3.4085,                0.86775,                0.78212,                 3.4626,                0.89438,                0.77402,             0.00087424,             0.00087424,             0.00087424
                     61,                 4.0513,                 1.0556,                0.77863,                 4.1496,                 1.1246,                0.76969,                0.69844,                0.33359,                0.35047,                0.16258,                 3.3949,                0.86075,                0.78207,                 3.4534,                0.89048,                0.77393,             0.00087007,             0.00087007,             0.00087007
                     62,                  4.055,                 1.0283,                0.78444,                 4.1262,                  1.085,                0.77638,                0.70209,                0.33539,                 0.3511,                0.16315,                 3.3889,                0.85728,                0.78196,                 3.4503,                0.88877,                0.77383,             0.00086584,             0.00086584,             0.00086584
                     63,                 4.0513,                 1.0302,                0.78499,                  4.143,                 1.0912,                0.77482,                0.70531,                0.33539,                0.35097,                0.16254,                 3.3808,                 0.8527,                0.78168,                 3.4467,                0.88456,                0.77366,             0.00086155,             0.00086155,             0.00086155
                     64,                  4.056,                 1.0473,                0.77973,                 4.1647,                 1.1028,                0.77016,                0.71292,                0.33745,                 0.3521,                0.16233,                 3.3767,                0.84935,                0.78145,                 3.4437,                0.88142,                0.77358,             0.00085721,             0.00085721,             0.00085721
                     65,                 4.0469,                  1.049,                0.78156,                 4.1248,                 1.0977,                0.77349,                0.73021,                0.33415,                0.35088,                0.16251,                 3.3688,                 0.8473,                0.78105,                 3.4377,                0.87825,                0.77348,             0.00085281,             0.00085281,             0.00085281
                     66,                  4.016,                 1.0371,                0.77959,                 4.0973,                 1.0736,                0.77236,                 0.7277,                0.32993,                0.35191,                 0.1631,                 3.3591,                0.84239,                0.78076,                 3.4298,                0.87351,                0.77346,             0.00084836,             0.00084836,             0.00084836
                     67,                 4.0387,                 1.0193,                0.77806,                 4.0786,                 1.0344,                0.77339,                0.71873,                0.33128,                0.35189,                0.16316,                 3.3543,                 0.8388,                0.78052,                 3.4238,                0.87026,                0.77341,             0.00084385,             0.00084385,             0.00084385
                     68,                 4.0417,                 1.0452,                0.77859,                 4.1086,                 1.0676,                0.77408,                0.72166,                0.32542,                0.35193,                0.16364,                 3.3476,                0.83615,                0.78029,                 3.4194,                0.86753,                 0.7733,             0.00083929,             0.00083929,             0.00083929
                     69,                 4.0651,                 1.0539,                0.79681,                 4.0928,                 1.0665,                0.77952,                0.72334,                0.32305,                0.35231,                0.16445,                 3.3406,                0.83379,                0.77993,                 3.4155,                0.86511,                0.77305,             0.00083468,             0.00083468,             0.00083468
                     70,                 4.1113,                 1.0547,                0.78981,                 4.1229,                 1.0585,                0.77607,                0.72866,                0.32305,                0.35205,                0.16505,                 3.3325,                0.83172,                0.77956,                 3.4094,                0.86432,                0.77281,             0.00083001,             0.00083001,             0.00083001
                     71,                 3.9916,                 1.0168,                0.78623,                 4.0314,                 1.0319,                0.78149,                0.72907,                0.32305,                0.35227,                0.16505,                 3.3291,                0.82971,                0.77942,                 3.4079,                0.86282,                0.77271,             0.00082529,             0.00082529,             0.00082529
                     72,                 4.0159,                 1.0282,                0.78755,                 4.0422,                 1.0407,                0.77682,                0.72923,                0.32305,                0.35328,                0.16565,                 3.3252,                0.82644,                0.77924,                 3.4077,                0.86083,                0.77261,             0.00082052,             0.00082052,             0.00082052
                     73,                 4.0635,                 1.0441,                0.78867,                   4.08,                 1.0512,                0.77835,                0.71683,                0.32305,                0.35301,                0.16672,                  3.322,                0.82344,                0.77904,                 3.4042,                0.85861,                0.77247,             0.00081571,             0.00081571,             0.00081571
                     74,                 4.0002,                  1.014,                0.77995,                 4.0426,                 1.0233,                0.77256,                0.71684,                0.32816,                0.35505,                0.16728,                 3.3155,                0.81905,                0.77886,                 3.3985,                0.85508,                0.77231,             0.00081084,             0.00081084,             0.00081084
                     75,                 3.9827,                 1.0243,                0.78533,                 4.0061,                  1.037,                0.77637,                0.71914,                0.33192,                0.35537,                 0.1683,                 3.3103,                0.81533,                0.77893,                 3.3901,                0.85185,                0.77208,             0.00080593,             0.00080593,             0.00080593
                     76,                 4.0016,                 1.0115,                 0.7824,                 4.0315,                 1.0243,                0.77517,                0.72086,                0.33539,                 0.3556,                0.16937,                 3.3052,                 0.8118,                0.77899,                 3.3843,                0.84976,                0.77183,             0.00080096,             0.00080096,             0.00080096
