                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.3745,                 1.1873,                 0.8052,                 2.3609,                 1.1943,                0.80061,                0.62873,                0.30664,                0.32582,                0.13821,                  2.004,                0.90849,                0.79187,                 1.9917,                0.92493,                0.78184,             0.00091288,             0.00091288,             0.00091288
                     25,                 2.3607,                 1.2109,                 0.8043,                 2.3422,                 1.2144,                0.79559,                 0.6437,                0.30658,                0.32035,                0.13086,                 2.0589,                0.96849,                0.79284,                 2.0127,                0.97028,                0.78045,             0.00090892,             0.00090892,             0.00090892
                     26,                 2.3366,                 1.1875,                0.80195,                 2.3221,                 1.1934,                0.79348,                0.62002,                0.31687,                0.32595,                0.14065,                 1.9393,                0.94411,                0.78877,                 1.9703,                0.93613,                0.78411,             0.00090496,             0.00090496,             0.00090496
                     27,                 2.3115,                 1.1692,                0.79424,                  2.306,                  1.171,                0.79001,                0.67103,                0.32922,                 0.3374,                0.13892,                 1.8807,                0.92186,                0.78979,                 1.9216,                0.91335,                0.78709,               0.000901,               0.000901,               0.000901
                     28,                 2.3232,                 1.1681,                 0.7976,                  2.314,                 1.1703,                0.78939,                0.70205,                0.32099,                0.32835,                0.14443,                 1.8682,                0.93513,                0.78883,                 1.8968,                0.94165,                0.78531,             0.00089704,             0.00089704,             0.00089704
                     29,                 2.3199,                 1.1816,                0.80441,                 2.3088,                 1.1955,                0.79703,                0.68934,                 0.3251,                0.34359,                0.14697,                 1.9538,                0.94387,                0.78736,                 1.9594,                0.94576,                0.78248,             0.00089308,             0.00089308,             0.00089308
                     30,                 2.2738,                 1.1464,                0.79705,                 2.2696,                 1.1533,                0.79156,                0.68474,                0.31481,                 0.3468,                0.15383,                 1.8595,                0.92608,                0.78461,                 1.8771,                0.89262,                0.78417,             0.00088912,             0.00088912,             0.00088912
                     31,                 2.2969,                 1.1583,                0.79449,                  2.287,                 1.1695,                0.78866,                0.69091,                0.33128,                0.34514,                0.15236,                 1.9094,                0.95464,                0.78313,                 1.8884,                0.93164,                0.78221,             0.00088516,             0.00088516,             0.00088516
                     32,                 2.2297,                 1.1195,                0.79152,                 2.2302,                 1.1351,                0.78668,                0.63843,                0.30519,                0.32768,                0.14903,                 1.8888,                0.93865,                0.78694,                 1.8951,                0.93869,                0.78415,              0.0008812,              0.0008812,              0.0008812
                     33,                 2.2454,                 1.1276,                0.79433,                 2.2507,                 1.1683,                 0.7841,                0.67038,                0.32305,                0.34398,                0.15555,                 1.8633,                0.89063,                0.78352,                 1.8925,                0.92136,                0.78045,             0.00087724,             0.00087724,             0.00087724
                     34,                 2.2254,                 1.1025,                0.79606,                 2.2408,                 1.1596,                0.78472,                0.68985,                0.33539,                0.34833,                0.15492,                 1.8823,                 0.9305,                0.78323,                 1.8872,                0.95367,                0.77938,             0.00087328,             0.00087328,             0.00087328
                     35,                 2.2133,                 1.0943,                0.78978,                 2.2374,                 1.1538,                0.78021,                0.66452,                0.32198,                0.33742,                0.15112,                 1.8844,                0.91865,                0.78411,                 1.9169,                0.95315,                0.77806,             0.00086932,             0.00086932,             0.00086932
                     36,                 2.2094,                 1.0969,                0.79971,                  2.228,                 1.1495,                0.78626,                0.68515,                 0.3107,                 0.3442,                0.15549,                 1.8414,                 0.9301,                0.78187,                 1.8467,                0.96953,                0.77572,             0.00086536,             0.00086536,             0.00086536
                     37,                 2.1833,                 1.0964,                0.79163,                 2.2155,                  1.168,                0.78068,                0.69282,                0.31557,                0.33918,                0.15689,                  1.814,                0.93467,                0.77999,                 1.8457,                0.95757,                0.77453,              0.0008614,              0.0008614,              0.0008614
                     38,                 2.2046,                 1.1058,                0.79085,                 2.2279,                 1.1708,                0.77896,                0.66422,                0.32561,                0.34775,                0.15928,                 1.8003,                0.94251,                0.78007,                 1.8324,                0.95102,                0.77396,             0.00085744,             0.00085744,             0.00085744
                     39,                 2.1741,                 1.0822,                0.78851,                 2.2132,                 1.1568,                0.77658,                0.66611,                0.32099,                 0.3491,                0.16013,                 1.7809,                0.90906,                0.77694,                 1.8113,                0.92439,                 0.7744,             0.00085348,             0.00085348,             0.00085348
                     40,                 2.1641,                 1.0618,                 0.7947,                 2.1974,                 1.1329,                0.78168,                0.68404,                0.33539,                0.34872,                0.16112,                  1.793,                0.88677,                0.77815,                 1.8152,                0.90964,                0.77524,             0.00084952,             0.00084952,             0.00084952
                     41,                 2.1452,                 1.0677,                0.79607,                 2.1823,                 1.1486,                 0.7816,                0.68666,                0.33128,                0.35366,                0.16469,                  1.807,                0.91343,                0.77783,                 1.8168,                0.92486,                0.77369,             0.00084556,             0.00084556,             0.00084556
                     42,                 2.1383,                 1.0552,                0.78902,                 2.1658,                 1.1309,                0.77735,                0.67561,                0.33539,                0.36373,                0.16715,                 1.7782,                0.88597,                 0.7777,                 1.8072,                0.90951,                0.77366,              0.0008416,              0.0008416,              0.0008416
                     43,                 2.1264,                 1.0558,                0.79085,                  2.169,                 1.1347,                0.77863,                0.67214,                0.33746,                0.35938,                0.16573,                 1.7689,                0.88558,                0.77749,                 1.7902,                0.90357,                 0.7729,             0.00083764,             0.00083764,             0.00083764
                     44,                 2.1358,                 1.0467,                0.79031,                 2.1608,                 1.1143,                0.77786,                0.67641,                0.33128,                0.35935,                0.16497,                 1.7652,                0.88299,                0.77588,                 1.7827,                0.91207,                0.77199,             0.00083368,             0.00083368,             0.00083368
                     45,                 2.1108,                 1.0299,                0.78291,                 2.1443,                 1.1077,                0.77179,                0.67647,                0.33557,                0.36181,                0.16703,                 1.7506,                0.87695,                0.77499,                 1.7704,                0.90369,                0.77278,             0.00082972,             0.00082972,             0.00082972
                     46,                 2.0939,                 1.0395,                0.79028,                 2.1352,                 1.1217,                0.77676,                0.66641,                0.33745,                0.36075,                 0.1659,                 1.7476,                0.87823,                0.77532,                 1.7747,                0.90516,                0.77267,             0.00082576,             0.00082576,             0.00082576
                     47,                 2.1096,                 1.0256,                0.78481,                 2.1508,                 1.1006,                0.77492,                0.66645,                0.33745,                0.36087,                0.16461,                 1.7449,                0.87901,                0.77648,                  1.784,                0.90938,                0.77302,              0.0008218,              0.0008218,              0.0008218
                     48,                 2.0878,                 1.0259,                0.78838,                 2.1192,                 1.0946,                0.77742,                0.66769,                0.33539,                0.36137,                0.16383,                 1.7503,                 0.8851,                  0.776,                 1.7962,                0.91561,                0.77235,             0.00081784,             0.00081784,             0.00081784
                     49,                 2.0907,                 1.0224,                0.78718,                 2.1207,                 1.0843,                0.77627,                0.67049,                0.33539,                0.36191,                0.16415,                 1.7441,                0.88089,                0.77547,                 1.8007,                0.90691,                0.77212,             0.00081388,             0.00081388,             0.00081388
                     50,                 2.0959,                 1.0356,                0.78452,                 2.1266,                 1.1043,                0.77486,                  0.676,                0.33951,                0.36562,                0.16535,                 1.7325,                0.88116,                 0.7753,                 1.7888,                0.90661,                0.77161,             0.00080992,             0.00080992,             0.00080992
                     51,                  2.082,                   1.01,                0.79234,                 2.1264,                 1.0913,                0.77746,                0.67313,                0.33951,                0.36574,                0.16768,                 1.7243,                 0.8746,                0.77549,                 1.7755,                0.90081,                0.77132,             0.00080596,             0.00080596,             0.00080596
                     52,                 2.0815,                 1.0263,                 0.7828,                 2.1154,                  1.094,                0.77165,                0.67212,                0.33951,                0.36277,                0.16778,                 1.7159,                0.87157,                0.77528,                 1.7669,                0.89928,                0.77096,               0.000802,               0.000802,               0.000802
                     53,                 2.0497,                0.99479,                0.78237,                 2.0993,                 1.0664,                0.77153,                0.67252,                0.33951,                0.36221,                0.16866,                 1.7043,                0.86818,                0.77483,                 1.7536,                 0.8948,                0.77084,             0.00079804,             0.00079804,             0.00079804
                     54,                 2.0582,                 1.0079,                0.79327,                 2.0932,                 1.0676,                0.77924,                0.67369,                0.34156,                0.36488,                0.17018,                 1.7005,                0.86218,                0.77493,                 1.7472,                0.89037,                0.77055,             0.00079408,             0.00079408,             0.00079408
                     55,                 2.0388,                0.99843,                0.78582,                  2.079,                 1.0606,                0.77361,                0.67355,                0.34156,                0.36403,                0.17027,                 1.6943,                0.85595,                 0.7747,                 1.7408,                0.88841,                0.77009,             0.00079012,             0.00079012,             0.00079012
                     56,                 2.0069,                0.97729,                0.78111,                 2.0511,                 1.0386,                0.77067,                0.68002,                0.34156,                0.36337,                0.16806,                 1.6909,                0.85092,                0.77443,                 1.7377,                0.88273,                0.76987,             0.00078616,             0.00078616,             0.00078616
                     57,                  2.013,                0.99284,                 0.7807,                 2.0574,                  1.058,                0.76995,                  0.677,                0.33745,                0.36316,                 0.1679,                 1.6928,                0.84856,                0.77405,                 1.7406,                0.88153,                0.76969,              0.0007822,              0.0007822,              0.0007822
                     58,                 2.0206,                0.98207,                0.78444,                 2.0591,                 1.0463,                 0.7731,                0.66632,                0.33333,                0.36144,                0.16723,                 1.6962,                0.84603,                0.77399,                 1.7461,                0.87538,                0.76981,             0.00077824,             0.00077824,             0.00077824
                     59,                 2.0042,                0.96768,                0.78249,                 2.0506,                  1.032,                0.77233,                0.66297,                0.33333,                0.36019,                 0.1682,                 1.6966,                0.84597,                0.77399,                 1.7468,                0.87272,                0.76996,             0.00077428,             0.00077428,             0.00077428
                     60,                 1.9974,                 0.9926,                0.78221,                 2.0448,                 1.0588,                0.77048,                0.66462,                0.33128,                0.36072,                 0.1681,                 1.6938,                0.84603,                0.77402,                 1.7437,                0.87201,                0.76978,             0.00077032,             0.00077032,             0.00077032
                     61,                 1.9696,                0.96521,                0.77466,                 2.0149,                 1.0407,                0.76547,                0.66094,                0.33333,                0.35881,                 0.1684,                 1.6912,                0.84445,                0.77389,                 1.7416,                0.86998,                0.76965,             0.00076636,             0.00076636,             0.00076636
                     62,                  1.971,                0.96087,                0.78539,                 2.0185,                 1.0213,                0.77355,                 0.6624,                0.33539,                0.35918,                0.16984,                 1.6889,                 0.8449,                0.77387,                 1.7392,                0.86979,                0.76959,              0.0007624,              0.0007624,              0.0007624
                     63,                 1.9833,                0.95582,                0.78268,                 2.0353,                 1.0261,                0.77225,                0.66736,                0.33539,                0.35865,                0.16952,                 1.6858,                0.84274,                0.77372,                  1.735,                0.86924,                0.76937,             0.00075844,             0.00075844,             0.00075844
                     64,                 1.9743,                0.96499,                0.77727,                 2.0227,                 1.0355,                0.76609,                0.67074,                0.33539,                0.35835,                0.17046,                 1.6866,                 0.8409,                0.77366,                 1.7344,                0.86929,                0.76921,             0.00075448,             0.00075448,             0.00075448
