                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.5215,                 1.2617,                0.85026,                 2.5036,                 1.2511,                0.84183,                0.74375,                0.27572,                0.29865,                0.12099,                 1.9944,                 1.0287,                0.84894,                 1.8773,                0.97824,                0.83659,              0.0091288,              0.0091288,              0.0091288
                     25,                 2.5763,                 1.3103,                0.85559,                 2.4701,                 1.2453,                0.84519,                 0.6986,                0.28189,                 0.3031,                 0.1245,                 2.1899,                 1.0936,                 0.8231,                 1.9038,                0.97579,                0.83506,              0.0090892,              0.0090892,              0.0090892
                     26,                 2.4653,                  1.231,                0.84762,                 2.4346,                 1.2334,                0.83345,                0.63178,                0.29424,                0.29759,                0.12293,                  2.021,                 1.0658,                0.84051,                 1.8759,                 1.0682,                0.83015,              0.0090496,              0.0090496,              0.0090496
                     27,                 2.5577,                 1.2797,                0.83275,                 2.4223,                 1.2243,                0.82817,                0.67385,                0.26357,                0.31152,                0.12821,                 2.2659,                 1.0336,                0.82731,                 1.8162,                  0.945,                0.83159,                0.00901,                0.00901,                0.00901
                     28,                  2.528,                 1.2623,                0.83707,                 2.4314,                 1.2221,                0.83157,                0.70858,                0.27572,                0.31501,                0.13435,                 2.1123,                0.94161,                0.83042,                 1.7383,                0.88212,                0.83208,              0.0089704,              0.0089704,              0.0089704
                     29,                 2.5491,                 1.2781,                0.83955,                 2.4197,                 1.2285,                0.83683,                0.68436,                0.26768,                0.31088,                 0.1334,                 2.1851,                 1.0214,                0.82004,                 1.8457,                0.95148,                0.83096,              0.0089308,              0.0089308,              0.0089308
                     30,                 2.5097,                 1.2418,                0.83494,                 2.3734,                 1.1857,                0.83505,                0.71012,                0.26337,                0.30834,                0.14191,                 2.0404,                0.89967,                0.82828,                 1.7746,                0.86664,                 0.8298,              0.0088912,              0.0088912,              0.0088912
                     31,                 2.5154,                 1.2586,                0.82994,                 2.3894,                 1.2045,                0.82936,                0.70248,                0.28189,                0.31977,                0.13818,                 2.0619,                0.96549,                0.82493,                 1.7429,                0.91763,                0.82898,              0.0088516,              0.0088516,              0.0088516
                     32,                 2.4922,                 1.2092,                0.82241,                 2.3516,                 1.1531,                0.82462,                0.70524,                0.28601,                0.33131,                0.14357,                 2.1079,                0.98279,                0.82086,                 1.7744,                0.93386,                0.82688,               0.008812,               0.008812,               0.008812
                     33,                 2.5017,                  1.228,                0.82807,                 2.3628,                 1.1714,                0.83238,                0.74481,                0.29426,                0.32873,                0.14627,                 2.0041,                0.94975,                0.81614,                 1.7241,                0.89617,                0.83084,              0.0087724,              0.0087724,              0.0087724
