                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 4.8831,                  1.271,                0.80372,                 4.8817,                 1.2854,                 0.7993,                0.64138,                0.31687,                0.31288,                0.12113,                 4.2894,                 1.0948,                0.79186,                 4.3127,                 1.0561,                0.78971,              0.0009812,              0.0009812,              0.0009812
                     25,                 4.8534,                 1.3007,                0.80138,                  4.845,                 1.3114,                0.79608,                0.61146,                0.30115,                0.30142,                0.11767,                 4.2538,                 1.1114,                0.78531,                  4.314,                  1.138,                0.78406,             0.00097947,             0.00097947,             0.00097947
                     26,                 4.7625,                 1.2632,                0.79634,                 4.7592,                 1.2849,                0.79247,                0.63797,                0.31276,                0.31983,                0.12229,                 4.1903,                 1.0329,                0.79148,                 4.1868,                 1.0256,                0.78586,             0.00097766,             0.00097766,             0.00097766
                     27,                 4.7601,                 1.2671,                0.79678,                 4.7577,                 1.2826,                0.79364,                 0.6487,                0.31687,                0.31171,                0.12847,                 4.0641,                 1.0368,                0.78935,                  3.986,                0.99983,                 0.7875,             0.00097577,             0.00097577,             0.00097577
                     28,                 4.7536,                 1.2514,                0.79513,                 4.7666,                 1.2587,                0.78941,                0.67517,                0.30453,                0.30848,                0.12686,                 4.0771,                0.98881,                0.79041,                 4.0847,                0.98756,                 0.7861,             0.00097381,             0.00097381,             0.00097381
                     29,                 4.7053,                 1.2615,                0.79643,                 4.7275,                 1.2787,                 0.7944,                 0.7003,                0.31276,                0.32311,                0.12524,                 4.0923,                 1.0152,                0.78541,                 4.1575,                 1.0072,                0.78528,             0.00097178,             0.00097178,             0.00097178
                     30,                 4.6408,                 1.2268,                0.79328,                 4.6498,                 1.2427,                 0.7911,                 0.6812,                0.31276,                0.32054,                0.13019,                 4.0517,                 1.0236,                0.78553,                 4.0513,                 1.0145,                0.78509,             0.00096967,             0.00096967,             0.00096967
                     31,                 4.6705,                 1.2358,                0.79377,                  4.673,                 1.2597,                0.78933,                0.63536,                0.31909,                 0.3293,                0.12939,                 3.9865,                0.99369,                0.78562,                 4.0975,                 0.9961,                0.78506,             0.00096749,             0.00096749,             0.00096749
                     32,                 4.5672,                 1.2018,                0.79216,                 4.5666,                 1.2166,                0.78975,                0.65049,                0.30658,                0.32169,                 0.1226,                 4.2622,                 1.0356,                0.78834,                 4.3038,                 1.0372,                0.78645,             0.00096524,             0.00096524,             0.00096524
                     33,                 4.5959,                 1.2001,                0.79005,                  4.622,                 1.2229,                 0.7863,                0.62709,                0.30864,                0.32465,                0.12637,                 4.2745,                 1.0393,                0.78562,                 4.2725,                 1.0427,                0.78124,             0.00096291,             0.00096291,             0.00096291
