                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.4771,                 1.2146,                0.84372,                 2.5203,                 1.2945,                0.83274,                0.72718,                0.27422,                0.30919,                0.12674,                 1.9059,                0.96316,                0.84139,                 2.0159,                 1.1031,                0.82804,              0.0091288,              0.0091288,              0.0091288
                     25,                 2.4539,                 1.2211,                0.83968,                 2.5683,                 1.3397,                0.82182,                0.68265,                0.30098,                0.30718,                0.11602,                 1.9704,                 1.0065,                0.84043,                 2.3175,                  1.145,                0.81635,              0.0090892,              0.0090892,              0.0090892
                     26,                 2.4072,                  1.203,                0.83164,                  2.532,                 1.3016,                0.81736,                0.66931,                0.30453,                0.32031,                0.13007,                 1.8284,                0.96412,                0.84164,                 2.1923,                 1.1217,                0.81503,              0.0090496,              0.0090496,              0.0090496
                     27,                  2.398,                 1.2098,                0.82931,                 2.5303,                  1.302,                0.81774,                0.70951,                0.29652,                0.32828,                0.13395,                 1.7992,                0.95659,                0.83738,                 2.1461,                 1.1071,                0.81449,                0.00901,                0.00901,                0.00901
                     28,                 2.4106,                 1.1966,                0.83568,                 2.5274,                 1.2933,                0.82125,                0.63353,                 0.2963,                 0.3241,                0.13738,                 1.7353,                0.95192,                0.84547,                 2.0686,                 1.0842,                0.81666,              0.0089704,              0.0089704,              0.0089704
                     29,                 2.3826,                 1.1913,                0.83496,                 2.5169,                 1.2876,                 0.8157,                0.67712,                0.30247,                0.31813,                0.13336,                 1.8186,                0.93307,                0.83774,                 2.1682,                 1.0223,                0.81248,              0.0089308,              0.0089308,              0.0089308
                     30,                 2.3559,                 1.1708,                0.83139,                 2.4977,                 1.2764,                0.81332,                0.68036,                0.30658,                0.33212,                0.14299,                 1.7313,                0.88726,                0.83568,                 2.0922,                 1.0465,                0.80829,              0.0088912,              0.0088912,              0.0088912
                     31,                 2.3579,                 1.1739,                0.83111,                 2.5065,                  1.282,                0.81142,                0.73422,                0.29218,                0.31407,                0.13681,                  1.759,                0.95249,                0.83623,                 2.0847,                 1.1339,                0.80548,              0.0088516,              0.0088516,              0.0088516
                     32,                 2.3193,                 1.1344,                 0.8244,                 2.4542,                 1.2347,                0.80956,                0.64827,                0.30041,                0.32917,                0.14373,                 1.6787,                0.92964,                0.82787,                  2.014,                 1.0243,                0.80675,               0.008812,               0.008812,               0.008812
                     33,                 2.3206,                 1.1378,                0.82785,                 2.4767,                 1.2509,                0.80788,                0.62418,                0.30864,                0.32307,                0.14084,                 1.6631,                0.90896,                0.82681,                 2.0197,                 1.0033,                0.80654,              0.0087724,              0.0087724,              0.0087724
                     34,                 2.3139,                 1.1219,                0.82906,                 2.4541,                 1.2066,                0.80934,                0.66994,                0.31481,                0.34012,                0.14989,                 1.6463,                0.89365,                 0.8279,                 1.9932,                 1.0276,                0.80449,              0.0087328,              0.0087328,              0.0087328
                     35,                 2.2945,                 1.1272,                0.82507,                  2.452,                 1.2171,                0.80958,                0.70131,                0.31481,                0.33038,                 0.1435,                 1.7303,                0.89289,                0.83073,                 2.0483,                 1.0011,                0.80409,              0.0086932,              0.0086932,              0.0086932
                     36,                 2.2807,                  1.113,                0.83025,                 2.4297,                 1.2129,                 0.8102,                0.70719,                0.30864,                0.33115,                0.14362,                 1.7351,                0.90671,                0.83204,                 2.0445,                0.99932,                0.80635,              0.0086536,              0.0086536,              0.0086536
                     37,                 2.2568,                 1.1055,                0.82557,                 2.4085,                 1.2088,                0.80734,                0.61591,                0.30453,                0.32951,                0.14012,                 1.7094,                0.90884,                0.82915,                 2.0741,                 1.0019,                0.80496,               0.008614,               0.008614,               0.008614
